=== per_query ===
topk,job,n_common_plans,runtimes_A,runtimes_B,rank_labels_A,rank_labels_B,ndcg,skipped
3,Job181v2,7,"[3398, 4884, 5217, 19324, 10991, 9510, 4836]","[4760, 6794, 6598, 25022, 16110, 11098, 6861]","[6, 4, 3, 0, 1, 2, 5]","[6, 4, 5, 0, 1, 2, 3]",0.8868759085647743,False
3,Job1157v0,9,"[13456, 9030, 9494, 26494, 7470, 36472, 8130, 67188, 9888]","[15921, 11416, 11667, 33461, 9047, 44531, 9601, 89569, 12075]","[3, 6, 5, 2, 8, 1, 7, 0, 4]","[3, 6, 5, 2, 8, 1, 7, 0, 4]",1.0,False
3,Job1031v2,6,"[210569, 13694, 95266, 14136, 7411, 55455]","[274704, 16457, 103035, 16374, 9777, 63902]","[0, 4, 1, 3, 5, 2]","[0, 3, 1, 4, 5, 2]",0.9854904886373149,False
3,Job68v1,19,"[40731, 72966, 61673, 49384, 2101, 105256, 27131, 21447, 27343, 35200, 12615, 78833, 35344, 29972, 4949, 41943, 61469, 30054, 33356]","[43567, 100158, 85346, 67352, 3487, 140166, 33147, 26113, 33418, 49781, 16433, 110457, 48573, 36286, 5724, 52898, 91817, 38267, 47092]","[7, 2, 3, 5, 18, 0, 14, 15, 13, 9, 16, 1, 8, 12, 17, 6, 4, 11, 10]","[10, 2, 4, 5, 18, 0, 14, 15, 13, 7, 16, 1, 8, 12, 17, 6, 3, 11, 9]",1.0,False
3,Job25v4,8,"[11419, 106281, 159485, 256804, 88716, 175172, 110183, 252868]","[19628, 99275, 225583, 310074, 72873, 259136, 96970, 309210]","[7, 5, 3, 0, 6, 2, 4, 1]","[7, 4, 3, 0, 6, 2, 5, 1]",0.9623652068147778,False
3,Job19v2,14,"[6014, 4233, 4098, 1711, 5671, 1743, 2730, 2755, 1728, 1583, 3140, 1708, 1877, 6239]","[7999, 4566, 4338, 2105, 7446, 2134, 3379, 3368, 2126, 2346, 3807, 2106, 2276, 7939]","[1, 3, 4, 11, 2, 9, 7, 6, 10, 13, 5, 12, 8, 0]","[0, 3, 4, 13, 2, 10, 6, 7, 11, 8, 5, 12, 9, 1]",0.9041085903517693,False
3,Job16v0,8,"[427495, 272737, 469197, 405151, 241170, 251082, 248724, 274879]","[707922, 452391, 751328, 579295, 387896, 360634, 361377, 390446]","[1, 4, 0, 2, 7, 5, 6, 3]","[1, 3, 0, 2, 5, 7, 6, 4]",0.9247304136295557,False
3,Job1017v1,16,"[69468, 130240, 67308, 64468, 105585, 64116, 106200, 71266, 105122, 67315, 69522, 67031, 106795, 60570, 63876, 64020]","[70388, 160450, 73653, 58774, 131140, 57633, 130548, 74879, 132471, 72344, 76225, 59736, 115203, 58039, 58388, 68123]","[7, 0, 9, 11, 3, 12, 2, 5, 4, 8, 6, 10, 1, 15, 14, 13]","[9, 0, 7, 12, 2, 15, 3, 6, 1, 8, 5, 11, 4, 14, 13, 10]",0.9383816560628713,False
3,Job9v3,16,"[6085, 5253, 1902, 16987, 4877, 1217, 805, 3102, 3235, 3860, 5910, 15367, 2504, 4698, 5128, 1920]","[7029, 6881, 2482, 21834, 5639, 1884, 1224, 4526, 4612, 5138, 7365, 20269, 3398, 5496, 6809, 2594]","[2, 4, 13, 0, 6, 14, 15, 10, 9, 8, 3, 1, 11, 7, 5, 12]","[3, 4, 13, 0, 6, 14, 15, 10, 9, 8, 2, 1, 11, 7, 5, 12]",1.0,False
3,Job19v4,9,"[51773, 12108, 12242, 95720, 109703, 49962, 96586, 100834, 140609]","[89314, 16551, 17970, 99063, 120467, 58550, 104070, 101898, 143124]","[5, 8, 7, 4, 1, 6, 3, 2, 0]","[5, 8, 7, 4, 1, 6, 2, 3, 0]",1.0,False
3,Job1255v4,8,"[7978, 10752, 1739, 12511, 87370, 14208, 90610, 9801]","[10962, 13700, 2974, 15015, 119051, 17490, 167638, 12585]","[6, 4, 7, 3, 1, 2, 0, 5]","[6, 4, 7, 3, 1, 2, 0, 5]",0.9999999999999999,False
3,Job1014v2,18,"[20583, 2066, 16367, 13726, 20901, 14217, 18772, 27641, 24287, 25049, 17855, 42607, 20432, 25161, 26996, 22854, 13695, 28187]","[24272, 3305, 20189, 15511, 25157, 17055, 22417, 32563, 29448, 30744, 20745, 54109, 24842, 28701, 30254, 28012, 17162, 28915]","[9, 17, 13, 15, 8, 14, 11, 2, 6, 5, 12, 0, 10, 4, 3, 7, 16, 1]","[10, 17, 13, 16, 8, 15, 11, 1, 4, 2, 12, 0, 9, 6, 3, 7, 14, 5]",0.9673093277830103,False
3,Job68v3,14,"[2536, 476, 664, 3125, 1797, 243, 241, 3248, 655, 1198, 225, 93, 2183, 1354]","[4294, 749, 908, 4791, 2421, 324, 346, 3860, 961, 1660, 303, 157, 2605, 1838]","[2, 9, 7, 1, 4, 10, 11, 0, 8, 6, 12, 13, 3, 5]","[1, 9, 8, 0, 4, 11, 10, 2, 7, 6, 12, 13, 3, 5]",0.9808217180703538,False
3,Job1234v3,6,"[290685, 92643, 45106, 277387, 36408, 299753]","[355544, 117975, 60951, 318175, 46240, 353091]","[1, 3, 4, 2, 5, 0]","[0, 3, 4, 2, 5, 1]",1.0,False
3,Job1073v2,13,"[120133, 22886, 37683, 22074, 85521, 102956, 57220, 83459, 150136, 79926, 14684, 42335, 55209]","[84174, 24781, 47746, 24329, 104108, 74830, 64411, 68156, 191869, 85459, 17117, 42273, 64668]","[1, 10, 9, 11, 3, 2, 6, 4, 0, 5, 12, 8, 7]","[3, 10, 8, 11, 1, 4, 7, 5, 0, 2, 12, 9, 6]",0.9999999999999999,False
3,Job1126v2,11,"[20533, 16939, 4017, 12901, 26706, 30587, 19480, 23797, 64459, 11473, 38246]","[26475, 19481, 5929, 17748, 31744, 34424, 24486, 27817, 82756, 14229, 53399]","[5, 7, 10, 8, 3, 2, 6, 4, 0, 9, 1]","[5, 7, 10, 8, 3, 2, 6, 4, 0, 9, 1]",1.0,False
3,Job91v2,13,"[1958, 7349, 1455, 1873, 1962, 1962, 1883, 1879, 1465, 179, 1576, 35573, 1932]","[2663, 11405, 2044, 2586, 2503, 2616, 2522, 2487, 1905, 355, 2110, 47031, 2503]","[4, 1, 11, 8, 2, 3, 6, 7, 10, 12, 9, 0, 5]","[2, 1, 10, 4, 6, 3, 5, 8, 11, 12, 9, 0, 7]",0.9945309728270603,False
3,Job9v1,13,"[3178, 71587, 16458, 9311, 79087, 20716, 80953, 9006, 12063, 9411, 12230, 8869, 22852]","[5146, 92732, 21261, 11557, 98313, 25688, 100239, 11067, 12778, 10660, 12536, 9251, 25547]","[12, 2, 5, 9, 1, 4, 0, 10, 7, 8, 6, 11, 3]","[12, 2, 5, 8, 1, 3, 0, 9, 6, 10, 7, 11, 4]",0.958229302173437,False
3,Job1000v1,16,"[437, 4763, 971, 8683, 48483, 4576, 4615, 437, 62205, 57885, 42821, 479, 44353, 47529, 54189, 17253]","[594, 5782, 1380, 10647, 63231, 5647, 5479, 589, 90291, 99864, 47728, 652, 62257, 52953, 91596, 19669]","[14, 9, 12, 8, 3, 11, 10, 15, 0, 1, 6, 13, 5, 4, 2, 7]","[14, 9, 12, 8, 3, 10, 11, 15, 2, 0, 6, 13, 4, 5, 1, 7]",1.0,False
3,Job59v4,17,"[18262, 897, 752, 2073, 1076, 135, 1914, 1969, 30196, 2460, 617, 6587, 1006, 1427, 18679, 671, 1149]","[22317, 1290, 1192, 3186, 1660, 195, 2704, 2765, 41401, 3496, 1014, 9870, 1590, 2024, 21113, 1025, 1781]","[2, 12, 13, 5, 10, 16, 7, 6, 0, 4, 15, 3, 11, 8, 1, 14, 9]","[1, 12, 13, 5, 10, 16, 7, 6, 0, 4, 15, 3, 11, 8, 2, 14, 9]",1.0,False
3,Job1171v1,7,"[64629, 24914, 58909, 62071, 38014, 18628, 90221]","[68435, 21096, 57980, 82319, 40888, 22899, 106946]","[1, 5, 3, 2, 4, 6, 0]","[2, 6, 3, 1, 4, 5, 0]",0.9669133242911208,False
3,Job6v3,9,"[35190, 64893, 18309, 55778, 7716, 5320, 15636, 50539, 8327]","[47123, 80712, 22928, 73707, 9259, 7022, 20209, 77110, 9285]","[3, 0, 4, 1, 7, 8, 5, 2, 6]","[3, 0, 4, 2, 7, 8, 5, 1, 6]",1.0,False
3,Job79v0,8,"[35322, 80985, 147544, 10479, 84134, 86769, 85800, 150709]","[48366, 91009, 199372, 17216, 100719, 111313, 139381, 193736]","[6, 5, 1, 7, 4, 2, 3, 0]","[6, 5, 0, 7, 4, 3, 2, 1]",0.9999999999999999,False
3,Job1255v3,11,"[26999, 8365, 9896, 4712, 10505, 14207, 8289, 8335, 22814, 10697, 53260]","[33658, 10625, 13724, 6170, 14617, 16570, 9989, 10103, 31334, 14865, 69338]","[1, 7, 6, 10, 5, 3, 9, 8, 2, 4, 0]","[1, 7, 6, 10, 5, 3, 9, 8, 2, 4, 0]",1.0,False
3,Job39v3,12,"[27, 219, 527, 107, 20, 55, 331, 249, 354, 142, 47, 485]","[42, 282, 734, 139, 29, 70, 530, 320, 582, 174, 62, 686]","[10, 5, 0, 7, 11, 8, 3, 4, 2, 6, 9, 1]","[10, 5, 0, 7, 11, 8, 3, 4, 2, 6, 9, 1]",1.0,False
3,Job46v2,12,"[684, 139, 448, 1935, 181, 2361, 2658, 864, 358, 408, 1545, 686]","[826, 225, 590, 2327, 293, 2494, 2862, 1053, 473, 552, 1984, 799]","[6, 11, 7, 2, 10, 1, 0, 4, 9, 8, 3, 5]","[5, 11, 7, 2, 10, 1, 0, 4, 9, 8, 3, 6]",1.0,False
3,Job63v1,15,"[23045, 30243, 35942, 40324, 957, 18777, 21515, 15611, 4133, 36782, 26206, 28177, 27517, 11107, 16610]","[29218, 37143, 43950, 48750, 1594, 25117, 28560, 21472, 5296, 47136, 32195, 35615, 33644, 14223, 21302]","[7, 3, 2, 0, 14, 9, 8, 11, 13, 1, 6, 4, 5, 12, 10]","[7, 3, 2, 0, 14, 9, 8, 10, 13, 1, 6, 4, 5, 12, 11]",0.9999999999999999,False
3,Job1006v1,6,"[9698, 9121, 13277, 5282, 10082, 9900]","[10723, 9866, 18019, 7238, 10798, 11193]","[3, 4, 0, 5, 1, 2]","[3, 4, 0, 5, 2, 1]",1.0,False
