=== SUMMARY: ALL COMPARABLE QUERIES ===
Includes queries where at least one model executed successfully (other may have timed out or bad plan)
Total queries compared: 125 of 133
runtime_tpchd_SQLServer_testonMac faster: 123 queries (98.4%)
runtime_tpchd_trainonVM_testonMac faster: 2 queries (1.6%)
Winner: runtime_tpchd_SQLServer_testonMac — faster on 123 of 125 comparable queries (98.4%)

=== SUMMARY: HEAD-TO-HEAD (BOTH MODELS EXECUTED SUCCESSFULLY) ===
Excludes any query where either model timed out or produced a bad plan
Total queries where both executed: 17 of 133
"Mean difference (n=17): 14,315.12 ms"
"Median difference (n=17): 8,684.00 ms"
runtime_tpchd_SQLServer_testonMac faster: 15 queries (88.2%)
runtime_tpchd_trainonVM_testonMac faster: 2 queries (11.8%)
Winner: runtime_tpchd_SQLServer_testonMac — faster on 15 of 17 head-to-head queries (88.2%)

Query,runtime_tpchd_SQLServer_testonMac Runtime (ms),runtime_tpchd_trainonVM_testonMac Runtime (ms),Faster Model,Difference
Job1236v1,"503,416",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1236v3,"7,209",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1251v1,"8,624",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1252v0,"8,068",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1252v1,"206,939",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1255v0,0,Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1255v3,"3,194",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1255v4,"8,569",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job128v0,"47,081","65,748",runtime_tpchd_SQLServer_testonMac,"18,667 ms faster"
Job128v4,Timeout,Timeout,N/A (both failed or missing),
Job1300v2,Timeout,Timeout,N/A (both failed or missing),
Job1325v0,"4,330",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1325v3,Timeout,Timeout,N/A (both failed or missing),
Job1337v3,"1,391",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1461v3,"5,603",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job161v0,"966,113",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job161v4,"48,611",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job16v0,"329,803",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job181v2,"1,856",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job185v2,Timeout,Timeout,N/A (both failed or missing),
Job185v3,"402,051",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job19v1,"60,383",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job19v2,"1,048",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job19v3,"1,812",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job19v4,"35,386",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job215v1,"1,248",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job221v0,"5,131",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job228v1,"1,729",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job237v0,"88,117",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job253v0,"1,637,020",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job253v1,"9,030","37,801",runtime_tpchd_SQLServer_testonMac,"28,771 ms faster"
Job253v4,Timeout,Timeout,N/A (both failed or missing),
Job25v1,"806,285",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job25v4,"61,909",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job27v4,"37,075",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job285v4,"11,020",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job2v2,"9,483",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job31v0,"82,539",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job369v1,"17,802","24,266",runtime_tpchd_SQLServer_testonMac,"6,464 ms faster"
Job369v4,"72,364",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job37v0,"3,514","22,518",runtime_tpchd_SQLServer_testonMac,"19,004 ms faster"
Job37v3,"8,717",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job37v4,"3,937",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job38v0,"407,209",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job38v1,"34,279",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job38v2,"10,626",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job38v3,"12,760",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job39v1,802,Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job39v3,56,Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job44v3,"153,462",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job46v0,"1,674",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
