=== SUMMARY: ALL COMPARABLE QUERIES ===
Includes queries where at least one model executed successfully (other may have timed out or bad plan)
Total queries compared: 125 of 133
runtime_tpchd_SQLServer_testonVM faster: 102 queries (81.6%)
runtime_tpchd_trainonVM_testonVM faster: 23 queries (18.4%)
Winner: runtime_tpchd_SQLServer_testonVM — faster on 102 of 125 comparable queries (81.6%)

=== SUMMARY: HEAD-TO-HEAD (BOTH MODELS EXECUTED SUCCESSFULLY) ===
Excludes any query where either model timed out or produced a bad plan
Total queries where both executed: 61 of 133
"Mean difference (n=61): 18,680.70 ms"
"Median difference (n=61): 1,913.00 ms"
runtime_tpchd_SQLServer_testonVM faster: 42 queries (68.9%)
runtime_tpchd_trainonVM_testonVM faster: 19 queries (31.1%)
Winner: runtime_tpchd_SQLServer_testonVM — faster on 42 of 61 head-to-head queries (68.9%)

Query,runtime_tpchd_SQLServer_testonVM Runtime (ms),runtime_tpchd_trainonVM_testonVM Runtime (ms),Faster Model,Difference
Job1252v1,"246,609","145,277",runtime_tpchd_trainonVM_testonVM,"-101,332 ms slower"
Job1255v0,0,Bad Plan,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Bad Plan)
Job1255v3,"4,351",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1255v4,"10,521","75,483",runtime_tpchd_SQLServer_testonVM,"64,962 ms faster"
Job128v0,"60,704","59,697",runtime_tpchd_trainonVM_testonVM,"-1,007 ms slower"
Job128v4,Timeout,"1,751,142",runtime_tpchd_trainonVM_testonVM,runtime_tpchd_SQLServer_testonVM failed (Timeout)
Job1300v2,Timeout,Timeout,N/A (both failed or missing),
Job1325v0,"5,884",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1325v3,Timeout,Timeout,N/A (both failed or missing),
Job1337v3,"1,814",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1461v3,"6,659","23,439",runtime_tpchd_SQLServer_testonVM,"16,780 ms faster"
Job161v0,Timeout,Timeout,N/A (both failed or missing),
Job161v4,"63,370","116,713",runtime_tpchd_SQLServer_testonVM,"53,343 ms faster"
Job16v0,"411,361","263,644",runtime_tpchd_trainonVM_testonVM,"-147,717 ms slower"
Job181v2,"2,847","18,354",runtime_tpchd_SQLServer_testonVM,"15,507 ms faster"
Job185v2,Timeout,Timeout,N/A (both failed or missing),
Job185v3,"505,601",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job19v1,"44,147","30,596",runtime_tpchd_trainonVM_testonVM,"-13,551 ms slower"
Job19v2,"1,506","1,845",runtime_tpchd_SQLServer_testonVM,339 ms faster
Job19v3,"2,325",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job19v4,"43,750","120,095",runtime_tpchd_SQLServer_testonVM,"76,345 ms faster"
Job215v1,"1,850","65,280",runtime_tpchd_SQLServer_testonVM,"63,430 ms faster"
Job221v0,"6,158",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job228v1,"2,819",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job237v0,"109,696","207,710",runtime_tpchd_SQLServer_testonVM,"98,014 ms faster"
Job253v0,Timeout,"96,420",runtime_tpchd_trainonVM_testonVM,runtime_tpchd_SQLServer_testonVM failed (Timeout)
Job253v1,"8,891",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job253v4,Timeout,Timeout,N/A (both failed or missing),
Job25v1,Timeout,"541,879",runtime_tpchd_trainonVM_testonVM,runtime_tpchd_SQLServer_testonVM failed (Timeout)
Job25v4,"68,148",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job27v4,"49,311",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job285v4,"13,952",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job2v2,"13,374",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job31v0,"100,860",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job369v1,"24,603",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job369v4,"84,329",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job37v0,"4,934",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job37v3,"11,444","22,408",runtime_tpchd_SQLServer_testonVM,"10,964 ms faster"
Job37v4,"4,882","13,433",runtime_tpchd_SQLServer_testonVM,"8,551 ms faster"
Job38v0,"508,986",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job38v1,"41,443",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job38v2,"14,546","5,624",runtime_tpchd_trainonVM_testonVM,"-8,922 ms slower"
Job38v3,"15,363","48,227",runtime_tpchd_SQLServer_testonVM,"32,864 ms faster"
Job39v1,"1,045","1,959",runtime_tpchd_SQLServer_testonVM,914 ms faster
Job39v3,70,712,runtime_tpchd_SQLServer_testonVM,642 ms faster
Job44v3,"180,216","139,289",runtime_tpchd_trainonVM_testonVM,"-40,927 ms slower"
Job46v0,"2,268","5,903",runtime_tpchd_SQLServer_testonVM,"3,635 ms faster"
Job46v1,719,194,runtime_tpchd_trainonVM_testonVM,-525 ms slower
Job46v2,904,332,runtime_tpchd_trainonVM_testonVM,-572 ms slower
Job46v3,"6,620",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job48v1,"31,441","414,038",runtime_tpchd_SQLServer_testonVM,"382,597 ms faster"
Job49v1,"54,804",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job49v2,"4,745","4,954",runtime_tpchd_SQLServer_testonVM,209 ms faster
Job56v2,0,Bad Plan,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Bad Plan)
Job58v2,"32,250","54,312",runtime_tpchd_SQLServer_testonVM,"22,062 ms faster"
Job58v4,"58,348",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job59v3,634,Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job59v4,300,Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job63v0,681,902,runtime_tpchd_SQLServer_testonVM,221 ms faster
Job63v1,"12,728","10,980",runtime_tpchd_trainonVM_testonVM,"-1,748 ms slower"
Job63v3,8,9,runtime_tpchd_SQLServer_testonVM,1 ms faster
Job68v1,"25,706","3,658",runtime_tpchd_trainonVM_testonVM,"-22,048 ms slower"
Job68v2,"1,075",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job68v3,499,288,runtime_tpchd_trainonVM_testonVM,-211 ms slower
Job68v4,"20,390","36,997",runtime_tpchd_SQLServer_testonVM,"16,607 ms faster"
Job6v1,"27,552","18,469",runtime_tpchd_trainonVM_testonVM,"-9,083 ms slower"
Job6v2,"61,076",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job6v3,"8,848",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
