=== SUMMARY: ALL COMPARABLE QUERIES ===
Includes queries where at least one model executed successfully (other may have timed out or bad plan)
Total queries compared: 124 of 133
runtime_tpchd_SQLServer_testonVM faster: 114 queries (91.9%)
runtime_tpchd_trainonMac_testonVM faster: 10 queries (8.1%)
Winner: runtime_tpchd_SQLServer_testonVM — faster on 114 of 124 comparable queries (91.9%)

=== SUMMARY: HEAD-TO-HEAD (BOTH MODELS EXECUTED SUCCESSFULLY) ===
Excludes any query where either model timed out or produced a bad plan
Total queries where both executed: 50 of 133
"Mean difference (n=50): 53,911.86 ms"
"Median difference (n=50): 9,858.50 ms"
runtime_tpchd_SQLServer_testonVM faster: 43 queries (86.0%)
runtime_tpchd_trainonMac_testonVM faster: 7 queries (14.0%)
Winner: runtime_tpchd_SQLServer_testonVM — faster on 43 of 50 head-to-head queries (86.0%)

Query,runtime_tpchd_SQLServer_testonVM Runtime (ms),runtime_tpchd_trainonMac_testonVM Runtime (ms),Faster Model,Difference
Job1252v0,"10,914",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job1252v1,"246,609",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job1255v0,0,Bad Plan,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Bad Plan)
Job1255v3,"4,351","7,133",runtime_tpchd_SQLServer_testonVM,"2,782 ms faster"
Job1255v4,"10,521",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job128v0,"60,704","6,058",runtime_tpchd_trainonMac_testonVM,"-54,646 ms slower"
Job128v4,Timeout,Timeout,N/A (both failed or missing),
Job1300v2,Timeout,Timeout,N/A (both failed or missing),
Job1325v0,"5,884",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job1325v3,Timeout,Timeout,N/A (both failed or missing),
Job1337v3,"1,814",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job1461v3,"6,659",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job161v0,Timeout,Timeout,N/A (both failed or missing),
Job161v4,"63,370",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job16v0,"411,361",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job181v2,"2,847",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job185v2,Timeout,"1,514,080",runtime_tpchd_trainonMac_testonVM,runtime_tpchd_SQLServer_testonVM failed (Timeout)
Job185v3,"505,601",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job19v1,"44,147",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job19v2,"1,506","1,781",runtime_tpchd_SQLServer_testonVM,275 ms faster
Job19v3,"2,325","2,414",runtime_tpchd_SQLServer_testonVM,89 ms faster
Job19v4,"43,750",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job215v1,"1,850",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job221v0,"6,158",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job228v1,"2,819",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job237v0,"109,696",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
